title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_score,imdb_votes
Linewatch,MOVIE,2008,R,90,"thriller, crime, drama",US,1,5,2862
The Boy Who Cried Werewolf,MOVIE,2010,G,97,"fantasy, horror, comedy, family","US, CA",1,5,3264
Dostana,MOVIE,2008,PG-13,145,"drama, comedy, romance","US, IN",1,6,14944
Whitney Cummings: Money Shot,MOVIE,2010,Uk,48,"comedy, documentation",US,1,6,907
Rock On!!,MOVIE,2008,Uk,144,"drama, music",IN,1,7,21963
Eternal Summer,MOVIE,2006,Uk,105,"romance, drama",TW,1,7,2630
Mike Birbiglia: What I Should Have Said Was Nothing,MOVIE,2008,Uk,60,comedy,US,1,7,1789
"One Piece: Episode of Chopper Plus: Bloom in the Winter, Miracle Cherry Blossom",MOVIE,2008,PG-13,95,"action, animation, comedy, drama, fantasy",JP,1,7,1189
Welcome,MOVIE,2007,Uk,160,"romance, crime, comedy",IN,1,6,21799
Just Another Love Story,MOVIE,2007,Uk,100,"thriller, european, crime, drama",DK,1,7,4849
Arahan,MOVIE,2004,Uk,114,"thriller, fantasy, action, comedy",KR,1,6,3813
Phir Hera Pheri,MOVIE,2006,Uk,155,"comedy, crime",IN,1,7,22505
Bleach the Movie: Fade to Black,MOVIE,2008,PG-13,94,"fantasy, drama, animation, action",JP,1,7,2151
Oscar's Oasis,SHOW,2010,TV-Y,9,"animation, comedy, european",FR,1,7,572
Kaal,MOVIE,2005,Uk,127,"thriller, scifi, horror",IN,1,4,5309
Sorry to Disturb,MOVIE,2008,Uk,116,"thriller, comedy, drama, romance",EG,1,8,5824
2 Alone in Paris,MOVIE,2008,Uk,94,"comedy, european",FR,1,5,2482
Delhi-6,MOVIE,2009,Uk,141,"drama, comedy",IN,1,6,7683
Sivaji: The Boss,MOVIE,2007,PG-13,189,"drama, crime, thriller, action",IN,1,7,19556
Ishqiya,MOVIE,2010,R,115,"comedy, thriller, romance, drama",IN,1,7,10415
Trotro,SHOW,2004,TV-G,3,"animation, family, european",FR,2,6,120
Guzaarish,MOVIE,2010,PG,126,"drama, romance",IN,1,7,18466
Oye Lucky! Lucky Oye!,MOVIE,2008,Uk,126,"comedy, drama, action, crime",IN,1,7,17411
Love in a Puff,MOVIE,2010,Uk,104,"romance, comedy, drama",HK,1,7,2558
Kabhi Alvida Naa Kehna,MOVIE,2006,PG,193,"drama, romance",IN,1,6,19797
Black Friday,MOVIE,2004,R,143,"crime, action, drama, history",IN,1,8,20611
Kevin James: Sweat the Small Stuff,MOVIE,2001,Uk,42,"comedy, documentation",US,1,7,1083
Connected,MOVIE,2008,Uk,110,"thriller, action, crime","CN, HK",1,6,2256
Vivah,MOVIE,2006,Uk,175,"drama, family, romance",IN,1,6,9793
Golmaal Returns,MOVIE,2008,PG,135,"comedy, crime",IN,1,5,7884
Jim Gaffigan: King Baby,MOVIE,2009,Uk,72,"comedy, documentation",US,1,7,2548
The Trailer Park Boys Xmas Special,MOVIE,2004,Uk,57,comedy,CA,1,8,3422
Bluffmaster!,MOVIE,2005,PG,137,"drama, comedy, romance, thriller, crime",IN,1,6,6313
